Field,FB1,Fus,FusGib,Sten,Sar
1,223.4,34.983,34.983,0.006,60.249
2,45.5,52.979,52.979,0.015,46.416
3,285.8,56.255,56.255,0,26.481
4,15.9,65.388,65.428,0.045,31.377
5,11.7,88.676,88.676,0.111,2.352
6,586.4,59.236,59.236,0,0.346
7,20.1,34.027,34.027,0.324,49.7
8,270.6,3.253,3.253,0,11.239
9,297.2,81.585,84.991,0.016,7.284
10,205.3,92.87,93.339,0,0.947
11,321.2,97.541,97.541,0.012,0.408
12,9.5,87.425,87.445,0.006,0.156
13,1116.9,92.286,92.321,0.057,6.205
14,223.6,96.616,96.74,0,2.715
15,23.3,83.437,83.437,0.858,1.072
16,1072.4,97.571,97.59,0,2.243
17,19.7,5.543,5.543,0.033,24.785
18,13.4,28.736,28.736,0.062,0.689
19,443.8,91.562,91.869,0.038,4.096
20,974,91.091,91.091,0.297,0.452
21,135.5,11.761,11.819,1.952,84.88
22,63.3,1.781,1.826,0.195,24.841
23,13,2.679,2.784,95.894,0.655
24,172.2,91.513,91.513,0.095,8.204
25,308.7,42.076,42.113,0.448,56.324
26,7.8,63.394,64.573,28.043,3.806
27,305,44.793,46.181,2.245,3.182
28,15.2,25.881,25.881,9.333,44.233
29,207.4,2.231,2.246,0.131,91.941
30,8.9,2.099,2.126,94.508,1.754
31,28.3,6.481,7.885,78.301,6.622
32,18,21.969,22.034,0.157,75.534
33,33.2,13.715,13.8,40.71,43.078
34,110.7,34.284,42.716,0.136,52.753
35,909.3,8.741,9.58,60.37,8.651
36,271.3,8.134,10.126,0.648,88.03
37,929.4,97.997,98.01,0.096,1.855
38,7.2,25.639,28.02,0.179,69.496
39,54.9,0.577,0.653,96.004,2.753
40,17.1,14.946,17.135,0.066,82.422
